"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "TypeScript", "CSS", "SVG", "wxml", "comment", "blank", "total"
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 122, 15, 17, 154
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.wxss", "CSS", 0, 0, 0, 0, 0, 378, 0, 0, 17, 68, 463
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 34, 23, 153
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 56, 6, 5, 67
"d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.wxss", "CSS", 0, 0, 0, 0, 0, 149, 0, 0, 9, 27, 185
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\chatCacheService.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 65, 36, 299
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\cloudFuncCaller.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 36, 25, 180
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\emotionService.js", "JavaScript", 829, 0, 0, 0, 0, 0, 0, 0, 234, 151, 1214
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\eventBus.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 51, 30, 207
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\focusAnalysisService.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 59, 28, 225
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\imageService.js", "JavaScript", 239, 0, 0, 0, 0, 0, 0, 0, 80, 50, 369
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\keywordService.js", "JavaScript", 333, 0, 0, 0, 0, 0, 0, 0, 101, 48, 482
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\personalityService.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 76, 35, 310
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\reportService.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 30, 14, 149
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\userInterestsService.js", "JavaScript", 408, 0, 0, 0, 0, 0, 0, 0, 128, 77, 613
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\userService.js", "JavaScript", 222, 0, 0, 0, 0, 0, 0, 0, 99, 48, 369
"d:\Code\WeChatProjects\HeartChat\miniprogram\services\voiceService.js", "JavaScript", 307, 0, 0, 0, 0, 0, 0, 0, 114, 65, 486
"d:\Code\WeChatProjects\HeartChat\miniprogram\sitemap.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Code\WeChatProjects\HeartChat\miniprogram\styles\iconfont.wxss", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\Code\WeChatProjects\HeartChat\miniprogram\theme.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 12, 76
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\auth.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 10, 8, 69
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\date.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 51, 22, 166
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\emotion.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 80, 49, 364
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\format.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 58, 15, 149
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\imageService.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 49, 25, 186
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\request.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 60, 33, 285
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\stats.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 27, 9, 79
"d:\Code\WeChatProjects\HeartChat\miniprogram\utils\storage.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 30, 10, 112
"d:\Code\WeChatProjects\HeartChat\package.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Code\WeChatProjects\HeartChat\project.config.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 70
"d:\Code\WeChatProjects\HeartChat\todo.md", "Markdown", 0, 446, 0, 0, 0, 0, 0, 0, 0, 15, 461
"Total", "-", 22000, 33968, 6326, 10345, 267, 7365, 708, 2299, 6152, 15840, 105270
